Date,Open,High,Low,Close,Adj Close,Volume
2007-11-08,255.85157775878906,255.85157775878906,214.58518981933594,233.56771850585938,183.80747985839844,60440
2007-11-12,247.59829711914062,247.59829711914062,223.78759765625,234.39305114746094,184.4569549560547,17820
2007-11-13,254.20091247558594,254.20091247558594,235.30091857910156,236.53890991210938,186.14564514160156,12333
2007-11-14,239.3450164794922,250.81707763671875,239.3450164794922,239.7576904296875,188.6786651611328,19552
2007-11-15,242.64633178710938,251.7249298095703,231.99960327148438,233.1963348388672,183.51519775390625,75791
2007-11-16,246.73170471191406,267.4061584472656,238.5196990966797,250.9408721923828,197.4793701171875,98251
2007-11-19,267.4061584472656,277.3100891113281,259.97821044921875,267.4061584472656,210.43679809570312,98696
2007-11-20,267.8188171386719,288.6170654296875,267.8188171386719,280.7764587402344,220.9586181640625,78899
2007-11-21,284.738037109375,284.738037109375,252.55026245117188,252.55026245117188,198.74586486816406,57629
2007-11-22,255.85157775878906,257.5022277832031,239.3450164794922,245.94764709472656,193.54989624023438,16238
2007-11-23,258.7402038574219,263.2382507324219,243.51292419433594,251.84873962402344,198.19381713867188,28374
2007-11-26,264.0223083496094,268.7679443359375,257.66729736328125,263.9397888183594,207.70892333984375,44983
2007-11-27,267.4061584472656,267.4061584472656,250.8996124267578,254.20091247558594,200.0448760986328,14877
2007-11-28,259.97821044921875,267.4061584472656,248.6299591064453,250.8996124267578,197.44688415527344,26255
2007-11-29,255.85157775878906,257.4197082519531,243.595458984375,243.595458984375,191.69882202148438,27448
2007-11-30,254.20091247558594,254.9849853515625,248.4236297607422,251.7249298095703,198.09634399414062,10769
2007-12-03,255.0262451171875,259.97821044921875,242.64633178710938,254.5310516357422,200.30465698242188,17303
2007-12-04,255.85157775878906,255.85157775878906,245.94764709472656,249.2489471435547,196.14788818359375,15077
2007-12-05,248.5061492919922,256.6769104003906,245.94764709472656,249.33148193359375,196.2128448486328,15982
2007-12-06,251.7249298095703,259.97821044921875,250.1568145751953,252.55026245117188,198.74586486816406,23584
2007-12-07,257.337158203125,257.4609680175781,240.17034912109375,245.94764709472656,193.54989624023438,20849
2007-12-10,247.6808319091797,251.14720153808594,243.51292419433594,243.51292419433594,191.63388061523438,16444
2007-12-11,248.4236297607422,252.4264678955078,243.63671875,247.51576232910156,194.783935546875,26654
2007-12-12,247.51576232910156,251.7249298095703,242.31619262695312,245.94764709472656,193.54989624023438,26513
2007-12-13,247.59829711914062,250.61074829101562,243.1415252685547,244.29698181152344,192.25091552734375,19152
2007-12-14,251.7249298095703,251.7249298095703,241.8209991455078,243.22406005859375,191.40655517578125,28301
2007-12-17,246.60791015625,246.60791015625,222.83847045898438,229.72994995117188,180.78729248046875,30454
2007-12-18,235.17710876464844,235.17710876464844,217.88650512695312,228.20309448242188,179.58572387695312,23216
2007-12-19,231.09173583984375,238.5196990966797,223.74632263183594,226.96510314941406,178.61148071289062,36809
2007-12-20,224.6129150390625,234.8057098388672,224.6129150390625,225.314453125,177.31248474121094,27518
